$GPCHC,2122,378027.00,87.07,1.48,0.65,0.04,-0.15,-0.09,-0.0113,0.0258,0.9992,32.02625280,118.85731992,67.69,-0.004,0.002,-0.007,0.004,20,18,41,1,2*4E
$GPCHC,2122,378028.00,87.01,1.46,0.66,0.01,-0.14,-0.07,-0.0115,0.0255,0.9992,32.02625278,118.85731992,67.69,-0.002,-0.012,0.041,0.012,20,18,41,1,2*4E
$GPCHC,2122,378029.00,87.11,1.48,0.65,0.03,-0.14,-0.06,-0.0114,0.0258,0.9993,32.02625276,118.85731996,67.69,0.004,-0.002,0.026,0.005,20,19,41,1,2*6B
$GPCHC,2122,378030.00,87.16,1.47,0.65,0.03,-0.14,-0.09,-0.0113,0.0256,0.9987,32.02625277,118.85731994,67.69,-0.031,-0.004,0.059,0.031,20,19,41,1,2*49
$GPCHC,2122,378031.00,87.10,1.48,0.66,0.03,-0.16,-0.08,-0.0115,0.0258,0.9990,32.02625278,118.85731997,67.68,0.011,0.007,-0.001,0.013,20,19,41,1,2*63
$GPCHC,2122,378032.00,87.55,1.46,0.66,0.03,-0.16,-0.06,-0.0115,0.0255,0.9991,32.02625278,118.85731997,67.68,-0.001,-0.005,-0.018,0.005,20,20,41,1,2*6B
$GPCHC,2122,378033.00,87.59,1.48,0.66,0.04,-0.14,-0.08,-0.0115,0.0258,0.9991,32.02625276,118.85731998,67.68,-0.005,-0.010,0.021,0.012,20,20,41,1,2*4E
$GPCHC,2122,378034.00,87.08,1.47,0.65,0.02,-0.15,-0.10,-0.0113,0.0256,0.9992,32.02625278,118.85732000,67.68,-0.001,0.000,0.008,0.001,20,19,41,1,2*6A
$GPCHC,2122,378035.00,86.94,1.48,0.66,0.06,-0.15,-0.06,-0.0116,0.0258,0.9987,32.02625279,118.85732000,67.67,0.011,0.000,-0.059,0.011,20,19,41,1,2*65
$GPCHC,2122,378036.00,87.04,1.47,0.65,0.05,-0.15,-0.06,-0.0114,0.0257,0.9990,32.02625279,118.85731999,67.68,-0.011,0.004,0.013,0.012,20,19,41,1,2*66
$GPCHC,2122,378037.00,86.86,1.48,0.67,0.04,-0.13,-0.05,-0.0116,0.0258,0.9991,32.02625280,118.85732001,67.68,0.017,-0.005,0.008,0.018,20,20,41,1,2*69
$GPCHC,2122,378038.00,86.87,1.47,0.65,0.03,-0.15,-0.05,-0.0113,0.0256,0.9990,32.02625277,118.85732000,67.67,0.028,-0.003,-0.038,0.029,20,20,41,1,2*41
$GPCHC,2122,378039.00,86.88,1.49,0.66,0.08,-0.14,-0.05,-0.0114,0.0259,0.9991,32.02625278,118.85732001,67.68,-0.011,-0.001,0.069,0.011,20,20,41,1,2*47
$GPCHC,2122,378040.00,86.79,1.47,0.67,0.01,-0.16,-0.10,-0.0116,0.0256,0.9991,32.02625280,118.85732000,67.67,0.001,-0.002,-0.004,0.002,20,20,41,1,2*48
$GPCHC,2122,378041.00,86.84,1.47,0.67,0.06,-0.12,-0.05,-0.0117,0.0257,0.9993,32.02625280,118.85732001,67.66,-0.007,0.009,-0.017,0.011,20,20,41,1,2*43
$GPCHC,2122,378042.00,87.21,1.47,0.65,0.07,-0.15,-0.06,-0.0114,0.0256,0.9990,32.02625278,118.85732004,67.66,0.012,-0.007,-0.020,0.014,20,18,41,1,2*4A
$GPCHC,2122,378043.00,86.70,1.46,0.66,0.03,-0.14,-0.05,-0.0115,0.0255,0.9991,32.02625277,118.85732007,67.66,-0.001,0.001,0.008,0.001,20,19,41,1,2*63
$GPCHC,2122,378044.00,86.78,1.47,0.66,0.04,-0.13,-0.08,-0.0115,0.0256,0.9994,32.02625277,118.85732010,67.66,0.006,-0.004,0.027,0.008,20,19,41,1,2*66
$GPCHC,2122,378045.00,87.29,1.46,0.66,0.04,-0.15,-0.06,-0.0115,0.0255,0.9993,32.02625278,118.85732005,67.66,-0.026,-0.006,0.041,0.027,20,18,41,1,2*45
$GPCHC,2122,378046.00,87.02,1.48,0.66,0.03,-0.16,-0.04,-0.0116,0.0259,0.9995,32.02625278,118.85732006,67.66,-0.011,0.005,0.027,0.013,20,18,41,1,2*60
$GPCHC,2122,378047.00,87.13,1.46,0.66,0.03,-0.16,-0.09,-0.0114,0.0255,0.9991,32.02625277,118.85732008,67.65,0.005,-0.012,0.009,0.013,20,18,41,1,2*65
$GPCHC,2122,378048.00,87.07,1.47,0.66,0.00,-0.14,-0.05,-0.0115,0.0256,0.9993,32.02625277,118.85732010,67.65,0.009,0.013,-0.023,0.016,20,18,41,1,2*6A
$GPCHC,2122,378049.00,86.72,1.47,0.65,0.04,-0.15,-0.06,-0.0114,0.0256,0.9993,32.02625277,118.85732008,67.66,-0.016,-0.004,0.008,0.017,20,19,41,1,2*4A
$GPCHC,2122,378050.00,86.66,1.46,0.65,0.06,-0.17,-0.06,-0.0114,0.0255,0.9991,32.02625276,118.85732013,67.65,-0.006,-0.007,0.022,0.009,20,19,41,1,2*4A
$GPCHC,2122,378051.00,86.59,1.46,0.65,0.03,-0.16,-0.07,-0.0112,0.0255,0.9992,32.02625278,118.85732014,67.64,-0.013,0.000,0.022,0.013,20,19,41,1,2*6A
$GPCHC,2122,378052.00,87.05,1.48,0.65,0.04,-0.14,-0.07,-0.0114,0.0258,0.9988,32.02625276,118.85732013,67.65,0.030,-0.006,-0.044,0.030,20,17,41,1,2*47
$GPCHC,2122,378053.00,86.45,1.47,0.66,0.06,-0.15,-0.08,-0.0115,0.0256,0.9992,32.02625276,118.85732015,67.64,-0.019,-0.016,0.024,0.025,20,19,41,1,2*46
$GPCHC,2122,378054.00,86.97,1.47,0.65,0.03,-0.14,-0.06,-0.0114,0.0256,0.9991,32.02625278,118.85732017,67.64,0.028,-0.000,-0.041,0.028,20,18,41,1,2*43
$GPCHC,2122,378055.00,86.76,1.47,0.65,0.03,-0.15,-0.06,-0.0113,0.0256,0.9992,32.02625276,118.85732015,67.64,0.005,0.002,-0.058,0.005,20,19,41,1,2*62
$GPCHC,2122,378056.00,86.70,1.47,0.66,0.03,-0.16,-0.07,-0.0115,0.0256,0.9990,32.02625276,118.85732017,67.64,0.004,0.000,0.018,0.004,20,19,41,1,2*4B
